Date,DayOfWeek,Promo,Weather,Temperature,Season,Sales
2023-01-01,Sunday,0,Snowy,8.2,Winter,221
2023-01-02,Monday,0,Snowy,8.8,Winter,130
2023-01-03,Tuesday,0,Rainy,-3.6,Winter,151
2023-01-04,Wednesday,0,Cloudy,-2.1,Winter,202
2023-01-05,Thursday,0,Sunny,2.0,Winter,219
2023-01-06,Friday,0,Snowy,-0.3,Winter,100
2023-01-07,Saturday,0,Sunny,8.7,Winter,240
2023-01-08,Sunday,1,Sunny,1.4,Winter,342
2023-01-09,Monday,0,Snowy,1.6,Winter,123
2023-01-10,Tuesday,1,Cloudy,3.5,Winter,256
2023-01-11,Wednesday,1,Cloudy,4.6,Winter,287
2023-01-12,Thursday,1,Rainy,12.7,Winter,244
2023-01-13,Friday,0,Rainy,3.9,Winter,153
2023-01-14,Saturday,1,Cloudy,2.5,Winter,340
2023-01-15,Sunday,1,Rainy,1.5,Winter,305
2023-01-16,Monday,0,Rainy,6.3,Winter,153
2023-01-17,Tuesday,1,Sunny,14.4,Winter,261
2023-01-18,Wednesday,0,Sunny,4.9,Winter,226
2023-01-19,Thursday,0,Rainy,10.7,Winter,198
2023-01-20,Friday,0,Rainy,-2.0,Winter,159
2023-01-21,Saturday,0,Sunny,-2.8,Winter,251
2023-01-22,Sunday,1,Sunny,12.7,Winter,325
2023-01-23,Monday,1,Rainy,-3.0,Winter,225
2023-01-24,Tuesday,1,Cloudy,-1.6,Winter,284
2023-01-25,Wednesday,0,Cloudy,6.5,Winter,176
2023-01-26,Thursday,1,Sunny,8.3,Winter,308
2023-01-27,Friday,0,Rainy,3.8,Winter,168
2023-01-28,Saturday,1,Cloudy,6.7,Winter,384
2023-01-29,Sunday,0,Cloudy,-0.4,Winter,259
2023-01-30,Monday,1,Cloudy,4.6,Winter,297
2023-01-31,Tuesday,0,Rainy,5.9,Winter,171
2023-02-01,Wednesday,1,Cloudy,-0.7,Winter,261
2023-02-02,Thursday,1,Cloudy,7.6,Winter,299
2023-02-03,Friday,1,Sunny,8.3,Winter,301
2023-02-04,Saturday,0,Rainy,8.4,Winter,221
2023-02-05,Sunday,1,Sunny,-0.4,Winter,336
2023-02-06,Monday,0,Cloudy,-5.1,Winter,184
2023-02-07,Tuesday,0,Snowy,4.4,Winter,133
2023-02-08,Wednesday,0,Sunny,13.8,Winter,262
2023-02-09,Thursday,0,Sunny,10.2,Winter,235
2023-02-10,Friday,0,Sunny,-11.2,Winter,252
2023-02-11,Saturday,0,Sunny,-2.2,Winter,270
2023-02-12,Sunday,0,Sunny,6.0,Winter,272
2023-02-13,Monday,0,Cloudy,8.3,Winter,211
2023-02-14,Tuesday,1,Snowy,6.4,Winter,208
2023-02-15,Wednesday,0,Cloudy,9.2,Winter,212
2023-02-16,Thursday,0,Sunny,8.7,Winter,245
2023-02-17,Friday,0,Snowy,2.0,Winter,156
2023-02-18,Saturday,0,Snowy,11.5,Winter,196
2023-02-19,Sunday,1,Rainy,4.3,Winter,275
2023-02-20,Monday,0,Cloudy,8.1,Winter,201
2023-02-21,Tuesday,0,Cloudy,1.6,Winter,188
2023-02-22,Wednesday,0,Sunny,6.2,Winter,191
2023-02-23,Thursday,1,Snowy,-2.0,Winter,249
2023-02-24,Friday,0,Snowy,4.9,Winter,146
2023-02-25,Saturday,1,Rainy,0.9,Winter,291
2023-02-26,Sunday,0,Snowy,6.1,Winter,190
2023-02-27,Monday,0,Cloudy,7.5,Winter,203
2023-02-28,Tuesday,0,Sunny,15.9,Winter,177
2023-03-01,Wednesday,0,Sunny,16.4,Spring,208
2023-03-02,Thursday,0,Sunny,22.3,Spring,185
2023-03-03,Friday,1,Cloudy,14.5,Spring,268
2023-03-04,Saturday,0,Cloudy,15.2,Spring,228
2023-03-05,Sunday,1,Cloudy,17.8,Spring,355
2023-03-06,Monday,0,Cloudy,15.5,Spring,241
2023-03-07,Tuesday,1,Rainy,17.6,Spring,263
2023-03-08,Wednesday,0,Sunny,8.0,Spring,214
2023-03-09,Thursday,0,Cloudy,21.5,Spring,198
2023-03-10,Friday,0,Snowy,14.6,Spring,147
2023-03-11,Saturday,0,Sunny,14.7,Spring,280
2023-03-12,Sunday,0,Sunny,11.8,Spring,258
2023-03-13,Monday,0,Cloudy,12.2,Spring,195
