Date,Promo,Temperature,Sales,Month,IsWeekend,DayOfYear,IsHoliday,DayOfWeek_Monday,DayOfWeek_Saturday,DayOfWeek_Sunday,DayOfWeek_Thursday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,Weather_Rainy,Weather_Snowy,Weather_Sunny,Season_Spring,Season_Summer,Season_Winter
2023-01-01,0,8.2,221,1,True,1,False,False,False,True,False,False,False,False,True,False,False,False,True
2023-01-02,0,8.8,130,1,False,2,True,True,False,False,False,False,False,False,True,False,False,False,True
2023-01-03,0,-3.6,151,1,False,3,False,False,False,False,False,True,False,True,False,False,False,False,True
2023-01-04,0,-2.1,202,1,False,4,False,False,False,False,False,False,True,False,False,False,False,False,True
2023-01-05,0,2.0,219,1,False,5,False,False,False,False,True,False,False,False,False,True,False,False,True
2023-01-06,0,-0.3,100,1,False,6,False,False,False,False,False,False,False,False,True,False,False,False,True
2023-01-07,0,8.7,240,1,True,7,False,False,True,False,False,False,False,False,False,True,False,False,True
2023-01-08,1,1.4,342,1,True,8,False,False,False,True,False,False,False,False,False,True,False,False,True
2023-01-09,0,1.6,123,1,False,9,False,True,False,False,False,False,False,False,True,False,False,False,True
2023-01-10,1,3.5,256,1,False,10,False,False,False,False,False,True,False,False,False,False,False,False,True
2023-01-11,1,4.6,287,1,False,11,False,False,False,False,False,False,True,False,False,False,False,False,True
2023-01-12,1,12.7,244,1,False,12,False,False,False,False,True,False,False,True,False,False,False,False,True
2023-01-13,0,3.9,153,1,False,13,False,False,False,False,False,False,False,True,False,False,False,False,True
2023-01-14,1,2.5,340,1,True,14,False,False,True,False,False,False,False,False,False,False,False,False,True
2023-01-15,1,1.5,305,1,True,15,False,False,False,True,False,False,False,True,False,False,False,False,True
2023-01-16,0,6.3,153,1,False,16,True,True,False,False,False,False,False,True,False,False,False,False,True
2023-01-17,1,14.4,261,1,False,17,False,False,False,False,False,True,False,False,False,True,False,False,True
2023-01-18,0,4.9,226,1,False,18,False,False,False,False,False,False,True,False,False,True,False,False,True
2023-01-19,0,10.7,198,1,False,19,False,False,False,False,True,False,False,True,False,False,False,False,True
2023-01-20,0,-2.0,159,1,False,20,False,False,False,False,False,False,False,True,False,False,False,False,True
2023-01-21,0,-2.8,251,1,True,21,False,False,True,False,False,False,False,False,False,True,False,False,True
2023-01-22,1,12.7,325,1,True,22,False,False,False,True,False,False,False,False,False,True,False,False,True
2023-01-23,1,-3.0,225,1,False,23,False,True,False,False,False,False,False,True,False,False,False,False,True
2023-01-24,1,-1.6,284,1,False,24,False,False,False,False,False,True,False,False,False,False,False,False,True
2023-01-25,0,6.5,176,1,False,25,False,False,False,False,False,False,True,False,False,False,False,False,True
2023-01-26,1,8.3,308,1,False,26,False,False,False,False,True,False,False,False,False,True,False,False,True
2023-01-27,0,3.8,168,1,False,27,False,False,False,False,False,False,False,True,False,False,False,False,True
2023-01-28,1,6.7,384,1,True,28,False,False,True,False,False,False,False,False,False,False,False,False,True
2023-01-29,0,-0.4,259,1,True,29,False,False,False,True,False,False,False,False,False,False,False,False,True
2023-01-30,1,4.6,297,1,False,30,False,True,False,False,False,False,False,False,False,False,False,False,True
2023-01-31,0,5.9,171,1,False,31,False,False,False,False,False,True,False,True,False,False,False,False,True
2023-02-01,1,-0.7,261,2,False,32,False,False,False,False,False,False,True,False,False,False,False,False,True
2023-02-02,1,7.6,299,2,False,33,False,False,False,False,True,False,False,False,False,False,False,False,True
2023-02-03,1,8.3,301,2,False,34,False,False,False,False,False,False,False,False,False,True,False,False,True
2023-02-04,0,8.4,221,2,True,35,False,False,True,False,False,False,False,True,False,False,False,False,True
2023-02-05,1,-0.4,336,2,True,36,False,False,False,True,False,False,False,False,False,True,False,False,True
2023-02-06,0,-5.1,184,2,False,37,False,True,False,False,False,False,False,False,False,False,False,False,True
2023-02-07,0,4.4,133,2,False,38,False,False,False,False,False,True,False,False,True,False,False,False,True
2023-02-08,0,13.8,262,2,False,39,False,False,False,False,False,False,True,False,False,True,False,False,True
2023-02-09,0,10.2,235,2,False,40,False,False,False,False,True,False,False,False,False,True,False,False,True
2023-02-10,0,-11.2,252,2,False,41,False,False,False,False,False,False,False,False,False,True,False,False,True
2023-02-11,0,-2.2,270,2,True,42,False,False,True,False,False,False,False,False,False,True,False,False,True
2023-02-12,0,6.0,272,2,True,43,False,False,False,True,False,False,False,False,False,True,False,False,True
